Loading MDL dataset and processing independent runs...
MDL raw data loaded. 43076 total entries.
Found 8 independent runs in the file.
MDL dataset fully processed. Found 42364 valid input-target pairs across all runs.
Initial Performance of Untrained Model: 
Avg Train Loss: 1.2073284051248006, Avg Test Loss: 1.2100333790209203
Epoch: 1, Avg Train Loss: 0.6809678282056536, Avg Test Loss: 0.616869926719607, LR: [0.0009999901402976406], Time taken: 26.246868140995502
Epoch: 2, Avg Train Loss: 0.592504130090986, Avg Test Loss: 0.5807099925887186, LR: [0.0009999605615798064], Time taken: 25.861578893847764
Epoch: 3, Avg Train Loss: 0.5628739706107548, Avg Test Loss: 0.5637230702738669, LR: [0.0009999112650142142], Time taken: 25.902359670959413
Epoch: 4, Avg Train Loss: 0.5441077747515269, Avg Test Loss: 0.5501106980062217, LR: [0.0009998422525470084], Time taken: 25.936470072716475
Epoch: 5, Avg Train Loss: 0.5303726032376289, Avg Test Loss: 0.5440351812696749, LR: [0.000999753526902683], Time taken: 25.921281310729682
Epoch: 6, Avg Train Loss: 0.5194966714297022, Avg Test Loss: 0.5381641343327301, LR: [0.0009996450915839745], Time taken: 25.962362306192517
Epoch: 7, Avg Train Loss: 0.5106985416795526, Avg Test Loss: 0.5320880568530525, LR: [0.0009995169508717236], Time taken: 25.988047521561384
Epoch: 8, Avg Train Loss: 0.50307399683765, Avg Test Loss: 0.5307141090763003, LR: [0.000999369109824706], Time taken: 25.958023443818092
Epoch: 9, Avg Train Loss: 0.4966087273189, Avg Test Loss: 0.5282214791186853, LR: [0.0009992015742794332], Time taken: 25.951969308778644
Epoch: 10, Avg Train Loss: 0.49066598298294206, Avg Test Loss: 0.5248374220814586, LR: [0.0009990143508499217], Time taken: 25.972385618835688
Epoch: 11, Avg Train Loss: 0.4852357522717544, Avg Test Loss: 0.5233578368606909, LR: [0.000998807446927432], Time taken: 25.92870434280485
Epoch: 12, Avg Train Loss: 0.48057049555437903, Avg Test Loss: 0.5213327444299445, LR: [0.0009985808706801766], Time taken: 25.894966647028923
Epoch: 13, Avg Train Loss: 0.4764854319393635, Avg Test Loss: 0.5228031423998464, LR: [0.0009983346310529979], Time taken: 25.938330095261335
Epoch: 14, Avg Train Loss: 0.4723098985850811, Avg Test Loss: 0.5191303514917186, LR: [0.0009980687377670148], Time taken: 25.97563073039055
Epoch: 15, Avg Train Loss: 0.4686788416334561, Avg Test Loss: 0.5207541520544404, LR: [0.0009977832013192385], Time taken: 25.980046927928925
Epoch: 16, Avg Train Loss: 0.4654214849429471, Avg Test Loss: 0.5202167014899202, LR: [0.0009974780329821595], Time taken: 25.937679633498192
Epoch: 17, Avg Train Loss: 0.4622725159994194, Avg Test Loss: 0.5204749844199023, LR: [0.0009971532448033009], Time taken: 25.929638751782477
Epoch: 18, Avg Train Loss: 0.459466554330928, Avg Test Loss: 0.5186245161820447, LR: [0.000996808849604744], Time taken: 25.934603947214782
Epoch: 19, Avg Train Loss: 0.45696320118648664, Avg Test Loss: 0.5197971765090699, LR: [0.0009964448609826218], Time taken: 25.960456549189985
Epoch: 20, Avg Train Loss: 0.4544499800673553, Avg Test Loss: 0.5184330801703019, LR: [0.0009960612933065816], Time taken: 25.943084965460002
Epoch: 21, Avg Train Loss: 0.45217171013355256, Avg Test Loss: 0.5178626477156311, LR: [0.0009956581617192185], Time taken: 25.96703292708844
Epoch: 22, Avg Train Loss: 0.450231026325907, Avg Test Loss: 0.5163831542202573, LR: [0.000995235482135477], Time taken: 25.971708212047815
Epoch: 23, Avg Train Loss: 0.44842566390122685, Avg Test Loss: 0.5170484458722915, LR: [0.000994793271242024], Time taken: 25.947845607064664
Epoch: 24, Avg Train Loss: 0.4461566369448389, Avg Test Loss: 0.518130568163061, LR: [0.0009943315464965878], Time taken: 25.9447705084458
Epoch: 25, Avg Train Loss: 0.4445646627673081, Avg Test Loss: 0.5156628549000611, LR: [0.0009938503261272711], Time taken: 25.95856244955212
Epoch: 26, Avg Train Loss: 0.4427714306328978, Avg Test Loss: 0.517638981412571, LR: [0.0009933496291318299], Time taken: 25.926612653769553
Epoch: 27, Avg Train Loss: 0.44137555861047334, Avg Test Loss: 0.5174115291537119, LR: [0.0009928294752769243], Time taken: 25.94229220878333
Epoch: 28, Avg Train Loss: 0.4403133279510907, Avg Test Loss: 0.5174372405558473, LR: [0.0009922898850973378], Time taken: 25.90819867514074
Epoch: 29, Avg Train Loss: 0.4385858380368778, Avg Test Loss: 0.5186059640326178, LR: [0.0009917308798951668], Time taken: 25.928876778110862
Epoch: 30, Avg Train Loss: 0.4373772988361972, Avg Test Loss: 0.5175115389188243, LR: [0.0009911524817389798], Time taken: 25.98027920164168
Epoch: 31, Avg Train Loss: 0.43594352805188724, Avg Test Loss: 0.5211943533975861, LR: [0.000990554713462945], Time taken: 25.924350743182003
Epoch: 32, Avg Train Loss: 0.43462273361427445, Avg Test Loss: 0.5289328314402597, LR: [0.000989937598665931], Time taken: 25.964360114187002
Epoch: 33, Avg Train Loss: 0.4337974166231496, Avg Test Loss: 0.5158608102927732, LR: [0.000989301161710573], Time taken: 25.913575102575123
Epoch: 34, Avg Train Loss: 0.4326524451375008, Avg Test Loss: 0.5178536830196848, LR: [0.0009886454277223124], Time taken: 25.945291243493557
Epoch: 35, Avg Train Loss: 0.4312444719885077, Avg Test Loss: 0.5175673973091027, LR: [0.000987970422588404], Time taken: 25.94532353710383
Epoch: 36, Avg Train Loss: 0.4304633609950542, Avg Test Loss: 0.5165825778585962, LR: [0.0009872761729568952], Time taken: 25.91609973460436
Epoch: 37, Avg Train Loss: 0.42946227554764066, Avg Test Loss: 0.5192417688860976, LR: [0.000986562706235572], Time taken: 25.942827383987606
Epoch: 38, Avg Train Loss: 0.4285123699477741, Avg Test Loss: 0.5169058098075301, LR: [0.0009858300505908794], Time taken: 25.931861214339733
Epoch: 39, Avg Train Loss: 0.42771111205220225, Avg Test Loss: 0.5181747012644767, LR: [0.0009850782349468076], Time taken: 25.95552650745958
Epoch: 40, Avg Train Loss: 0.4267633203949247, Avg Test Loss: 0.5186618213690659, LR: [0.000984307288983751], Time taken: 25.973841344937682
Epoch: 41, Avg Train Loss: 0.4260928883084229, Avg Test Loss: 0.5182210959350091, LR: [0.0009835172431373362], Time taken: 25.927180083468556
Epoch: 42, Avg Train Loss: 0.425192129611969, Avg Test Loss: 0.5185597704891212, LR: [0.00098270812859722], Time taken: 25.952403801493347
Epoch: 43, Avg Train Loss: 0.4242214151791164, Avg Test Loss: 0.5184008995776241, LR: [0.0009818799773058597], Time taken: 25.92817271221429
Epoch: 44, Avg Train Loss: 0.4235851969037737, Avg Test Loss: 0.5181929265438302, LR: [0.0009810328219572496], Time taken: 25.910289445891976
Epoch: 45, Avg Train Loss: 0.4227773347071239, Avg Test Loss: 0.5202604646758053, LR: [0.0009801666959956329], Time taken: 25.918825733475387
Epoch: 46, Avg Train Loss: 0.42226950515593803, Avg Test Loss: 0.5200237931717909, LR: [0.000979281633614179], Time taken: 25.966747581027448
Epoch: 47, Avg Train Loss: 0.421378406137228, Avg Test Loss: 0.5197132292613281, LR: [0.0009783776697536357], Time taken: 25.9545417400077
Epoch: 48, Avg Train Loss: 0.420724723062345, Avg Test Loss: 0.521775870911078, LR: [0.000977454840100948], Time taken: 25.944930251687765
Epoch: 49, Avg Train Loss: 0.4201829033238547, Avg Test Loss: 0.5226126893589037, LR: [0.0009765131810878507], Time taken: 25.89160119742155
