
CondaError: Run 'conda init' before 'conda deactivate'

Loading OBS dataset and processing seasonal chunks...
OBS dataset loaded. Processing 5092 time steps.
OBS dataset processed. Found 5008 valid input-target pairs.
Total OBS samples across all lead times: 5008
batches per dataset: 40
Performance Before Training: Avg Train Loss: 0.681342934795305, Avg Val Loss: 0.6809169089651678
Epoch: 1, Avg Train Loss: 0.6382289630213479, Avg Val Loss: 0.6036917431895952, LR: [0.0001]
Epoch: 2, Avg Train Loss: 0.5691116284567291, Avg Val Loss: 0.5471196058261917, LR: [0.0001]
Epoch: 3, Avg Train Loss: 0.5229139190675431, Avg Val Loss: 0.5130329858734313, LR: [0.0001]
Epoch: 4, Avg Train Loss: 0.49113770342685104, Avg Val Loss: 0.49149004919120515, LR: [0.0001]
Epoch: 5, Avg Train Loss: 0.46650559339724795, Avg Val Loss: 0.4776184201478008, LR: [0.0001]
Epoch: 6, Avg Train Loss: 0.44533846041648506, Avg Val Loss: 0.4683420789906703, LR: [9.999902291237878e-05]
Epoch: 7, Avg Train Loss: 0.42280266676250816, Avg Val Loss: 0.4640454280661397, LR: [9.999609168808891e-05]
Epoch: 8, Avg Train Loss: 0.4061327340010462, Avg Val Loss: 0.4619196943077908, LR: [9.999120644285005e-05]
Epoch: 9, Avg Train Loss: 0.39075556856658195, Avg Val Loss: 0.4616462267727491, LR: [9.998436736952335e-05]
Epoch: 10, Avg Train Loss: 0.37617987823481314, Avg Val Loss: 0.4628836000820555, LR: [9.997557473810373e-05]
Epoch: 11, Avg Train Loss: 0.3620363247978454, Avg Val Loss: 0.4659241170759695, LR: [9.996482889570919e-05]
Epoch: 12, Avg Train Loss: 0.34836707874860035, Avg Val Loss: 0.4689304113862999, LR: [9.99521302665672e-05]
Epoch: 13, Avg Train Loss: 0.33536689935398123, Avg Val Loss: 0.47389385127926253, LR: [9.993747935199789e-05]
Epoch: 14, Avg Train Loss: 0.32311018716895534, Avg Val Loss: 0.4782757642734573, LR: [9.992087673039429e-05]
Epoch: 15, Avg Train Loss: 0.31179327127285456, Avg Val Loss: 0.4832824050667751, LR: [9.990232305719946e-05]
Epoch: 16, Avg Train Loss: 0.3014273234894227, Avg Val Loss: 0.48749535563457536, LR: [9.988181906488066e-05]
Epoch: 17, Avg Train Loss: 0.2919832390911418, Avg Val Loss: 0.49239266453036273, LR: [9.98593655629004e-05]
Epoch: 18, Avg Train Loss: 0.2834657687824615, Avg Val Loss: 0.4962130181817894, LR: [9.98349634376845e-05]
Epoch: 19, Avg Train Loss: 0.2757244701392515, Avg Val Loss: 0.5001013771708743, LR: [9.980861365258707e-05]
Epoch: 20, Avg Train Loss: 0.2685919468809332, Avg Val Loss: 0.5038916744083998, LR: [9.97803172478525e-05]
Epoch: 21, Avg Train Loss: 0.2620911346605552, Avg Val Loss: 0.5072561058390188, LR: [9.97500753405744e-05]
Epoch: 22, Avg Train Loss: 0.2562205521642397, Avg Val Loss: 0.511432543456317, LR: [9.971788912465148e-05]
Epoch: 23, Avg Train Loss: 0.25081066368118365, Avg Val Loss: 0.5136191619344916, LR: [9.968375987074045e-05]
Epoch: 24, Avg Train Loss: 0.24576257991833372, Avg Val Loss: 0.517088517962224, LR: [9.964768892620581e-05]
Epoch: 25, Avg Train Loss: 0.24112054563092414, Avg Val Loss: 0.5195552300646961, LR: [9.96096777150667e-05]
Epoch: 26, Avg Train Loss: 0.23674166149293172, Avg Val Loss: 0.5227165457261986, LR: [9.956972773794061e-05]
Epoch: 27, Avg Train Loss: 0.23264450847238008, Avg Val Loss: 0.5245046594228403, LR: [9.952784057198426e-05]
Epoch: 28, Avg Train Loss: 0.2288975605342928, Avg Val Loss: 0.526441841248972, LR: [9.948401787083125e-05]
Epoch: 29, Avg Train Loss: 0.2253460623754632, Avg Val Loss: 0.5291134299510029, LR: [9.943826136452677e-05]
Epoch: 30, Avg Train Loss: 0.22196000748969236, Avg Val Loss: 0.5321841256552009, LR: [9.939057285945935e-05]
Epoch: 31, Avg Train Loss: 0.21877959488707227, Avg Val Loss: 0.5337716196162767, LR: [9.93409542382895e-05]
Epoch: 32, Avg Train Loss: 0.21578093018443087, Avg Val Loss: 0.5354076951623438, LR: [9.928940745987544e-05]
Epoch: 33, Avg Train Loss: 0.21294583533713365, Avg Val Loss: 0.5376856229694716, LR: [9.92359345591957e-05]
Epoch: 34, Avg Train Loss: 0.210273796485356, Avg Val Loss: 0.5389975625205325, LR: [9.918053764726885e-05]
Epoch: 35, Avg Train Loss: 0.20777403288386764, Avg Val Loss: 0.5411221496612427, LR: [9.912321891107013e-05]
Epoch: 36, Avg Train Loss: 0.20536473362115543, Avg Val Loss: 0.5429959463408269, LR: [9.906398061344507e-05]
Epoch: 37, Avg Train Loss: 0.2030694695337996, Avg Val Loss: 0.5444520512425092, LR: [9.900282509302026e-05]
Epoch: 38, Avg Train Loss: 0.20082751063707122, Avg Val Loss: 0.5464907958213077, LR: [9.893975476411091e-05]
Epoch: 39, Avg Train Loss: 0.19866311282000923, Avg Val Loss: 0.5464977503297813, LR: [9.887477211662562e-05]
Epoch: 40, Avg Train Loss: 0.1965997048397387, Avg Val Loss: 0.5491810336530921, LR: [9.880787971596803e-05]
Epoch: 41, Avg Train Loss: 0.19463480882141454, Avg Val Loss: 0.5498352827303913, LR: [9.87390802029356e-05]
Epoch: 42, Avg Train Loss: 0.1927429866002642, Avg Val Loss: 0.5510821534817912, LR: [9.86683762936153e-05]
Epoch: 43, Avg Train Loss: 0.19100289182400337, Avg Val Loss: 0.5526971304084201, LR: [9.85957707792764e-05]
Epoch: 44, Avg Train Loss: 0.189300568321309, Avg Val Loss: 0.5536846397407501, LR: [9.852126652626026e-05]
Epoch: 45, Avg Train Loss: 0.18769274532657124, Avg Val Loss: 0.5555789940860641, LR: [9.844486647586726e-05]
Epoch: 46, Avg Train Loss: 0.18609756776044567, Avg Val Loss: 0.5560771830053444, LR: [9.836657364424056e-05]
Epoch: 47, Avg Train Loss: 0.18456245007473857, Avg Val Loss: 0.557446395733442, LR: [9.828639112224707e-05]
Epoch: 48, Avg Train Loss: 0.1830700916955269, Avg Val Loss: 0.5590016628166594, LR: [9.82043220753555e-05]
Epoch: 49, Avg Train Loss: 0.18158326921203394, Avg Val Loss: 0.5594880196202798, LR: [9.812036974351127e-05]
Epoch: 50, Avg Train Loss: 0.18020219605009621, Avg Val Loss: 0.5601555792933917, LR: [9.80345374410087e-05]
